time,open,high,low,close,(blank),(blank),Chars,(blank),(blank),(blank),(blank),Bullish Micro Trend,Bearish Micro Trend,Alpha Track,WMA,TD8,TD8,TD9,TD9,Big Bull Arrow,Big Bear Arrow,Over-Bought,Over-Sold,RSI,RSI Line 2,RSI Line 3,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,Net Longs,Net Shorts,Net Shorts,Net Ratio,Longs (Open),Longs (High,Longs (Low),Longs (Close),Shorts (Open),Shorts (High,Shorts (Low),Shorts (Close),Delta (Open),Delta (High,Delta (Low),Delta (Close),Ratio (Open),Ratio (High,Ratio (Low),Ratio (Close),Plot,Plot,Plot,Plot,RSI 100,RSI 70,RSI 50,RSI 30,RSI 0,Shapes,Histogram
2025-03-13T03:35:00-04:00,0.0010012041890836811,0.001058133752639438,0.000867140087403761,0.0008769182351694521,NaN,0,0,0,0,0,0,0,0,0.0007206098501473268,0.0009193126654592521,NaN,NaN,NaN,NaN,0,0,0.0013554475767156107,0.0002899540591223677,60.859062171532564,63.729558099071,64.94426669203278,60.859062171532564,NaN,60.859062171532564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,-16.343798035226037
2025-03-13T03:40:00-04:00,0.0008769182351694521,0.0013824287789818935,0.0007752868282558468,0.0009186371947422935,NaN,0,0,0,0,0,0,0,0,0.0007426128884356563,0.0009162683149049263,NaN,NaN,NaN,NaN,0,0,0.0014090809380831637,0.0003075434918352486,62.23353044356154,62.98154427131627,63.962905481674525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,-9.742452390883379
2025-03-13T03:45:00-04:00,0.0009186371947422935,0.0017275578252432364,0.0009186371947422935,0.0012760884991334588,NaN,0,0,0,0,0,0,1,0,0.0008018879562909677,0.0009864537906515306,NaN,NaN,NaN,NaN,0,0,0.0015183767127399466,0.00031597385033499035,71.47590342220977,67.22872384676302,65.59581466421878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,16.09788820969988
2025-03-13T03:50:00-04:00,0.0012760884991334588,0.0015530728542048232,0.0012221971905262768,0.0014657100318175888,NaN,0,0,0,0,0,0,1,0,0.0008756459646828144,0.0010895848159510585,NaN,NaN,NaN,NaN,0,0,0.001582322577560323,0.0003013571980573644,74.97465159289064,71.10168771982683,68.3487511920228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,17.90430992611919
2025-03-13T03:55:00-04:00,0.0014657100318175888,0.0018549746947896448,0.00139336848629696,0.0016968026593412887,NaN,0,0,0,0,0,0,1,0,0.0009668855974226448,0.0012270421270914426,NaN,NaN,NaN,NaN,1,0,0.0016881313708963321,0.0002885381976995943,78.44471683289575,74.77320227636129,71.56097673419205,NaN,NaN,NaN,NaN,78.44471683289575,NaN,78.44471683289575,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,11.393030689985565
2025-03-13T04:00:00-04:00,0.0016968026593412887,0.0018196880938334333,0.001393981273211498,0.0014265312082028133,NaN,0,0,0,1,0,0,1,0,0.0010179573319537747,0.0012931497232528733,NaN,NaN,NaN,NaN,0,0,0.0017227094399614666,0.000305741175720295,66.7816350346043,70.77741865548279,71.16919769483742,66.7816350346043,NaN,66.7816350346043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,-22.778882654889564
2025-03-13T04:05:00-04:00,0.0014265312082028133,0.0018178679925376423,0.0014265312082028133,0.0017479775254367043,NaN,0,0,0,0,0,0,1,0,0.0010990706867852113,0.0014105851937690186,NaN,NaN,NaN,NaN,0,0,0.0018030261584689182,0.00032413049063855317,72.09556493231072,71.43649179389675,71.30284474436709,NaN,NaN,NaN,NaN,72.09556493231072,NaN,72.09556493231072,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,26.199849250901188
2025-03-13T04:10:00-04:00,0.0017479775254367043,0.0017479775254367043,0.0014106017614017425,0.0014985623551332244,NaN,0,0,0,1,0,0,1,0,0.0011434586499349906,0.0014573616047206964,NaN,NaN,NaN,NaN,0,0,0.001853852927281307,0.00035976522244438557,63.59479548498165,67.5156436394392,69.40924419190316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,-23.10067363303766
2025-03-13T04:15:00-04:00,0.0014985623551332244,0.0015254491118097486,0.0013224871205702658,0.0014341245637972376,NaN,0,0,0,0,0,0,1,0,0.0011757548625863513,0.0014795546975232435,NaN,NaN,NaN,NaN,0,0,0.0018589647881086765,0.0004204532218841431,61.57477854603392,64.54521109273657,66.97722764231986,61.57477854603392,NaN,61.57477854603392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,-5.968187041209994
2025-03-13T04:20:00-04:00,0.0014341245637972376,0.0016463831998317043,0.0014341245637972376,0.0016453232357295368,NaN,0,0,0,0,0,0,1,0,0.0012279291262689274,0.0015343670719408385,NaN,NaN,NaN,NaN,0,0,0.0018666834939381261,0.00048087206906928526,65.44855753730609,64.99688431502133,65.9870559786706,NaN,NaN,NaN,NaN,65.44855753730609,NaN,65.44855753730609,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,19.561085984074815
2025-03-13T04:25:00-04:00,0.0016453232357295368,0.0016815271402829725,0.001139470216369013,0.0012971092791408702,NaN,0,0,0,0,0,0,0,0,0.0012353678520676435,0.001502460988361587,NaN,NaN,NaN,NaN,0,0,0.0018759107751189063,0.0005487045658102932,55.51182422725399,60.25435427113766,63.12070512490413,55.51182422725399,NaN,55.51182422725399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,-32.25135406092537
